IDP	GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P
C128_7	ARL15	5	53180578	53606403	1326	82	33313	5.7785	3.7675e-09
C128_7	HLA-DRA	6	32407619	32412823	60	9	33532	5.8466	2.5081e-09
C128_7	BUD31	7	99006243	99017239	27	7	33419	5.4982	1.9182e-08
C128_7	RELN	7	103112231	103629963	2051	98	33345	6.5302	3.2852e-11
C128_7	PAPPA	9	118916071	119164600	409	66	33257	7.81	2.8597e-15
C128_7	ACTR1A	10	104238986	104262580	71	4	33501	5.8799	2.052e-09
C128_7	ST5	11	8714899	8932498	590	30	33400	5.8461	2.5155e-09
C128_7	NRIP3	11	9002123	9025596	64	9	33434	6.0281	8.2975e-10
C128_7	CCDC53	12	102406717	102455902	104	16	33461	7.0193	1.1149e-12
C128_7	NUP37	12	102467967	102514025	101	16	33485	7.1677	3.8131e-13
C128_7	PARPBP	12	102513956	102591298	154	15	33467	5.6378	8.6111e-09
C128_7	RAD51B	14	68286496	69149889	1949	88	33360	6.242	2.16e-10
C128_78	DAAM1	14	59655329	59838123	560	29	33360	5.5359	1.5481e-08
C128_8	C1orf185	1	51442129	51613754	318	23	33434	7.0002	1.2781e-12
C128_8	RNF11	1	51701945	51739119	42	7	33398	6.0309	8.1514e-10
C128_8	TTC39A	1	51752930	51810785	109	22	33392	5.9879	1.0626e-09
C128_8	DNMT3A	2	25451421	25565459	189	38	33278	5.7195	5.3416e-09
C128_8	BLOC1S5	6	8013800	8064647	194	15	33398	6.1991	2.8394e-10
C128_8	EEF1E1	6	8073593	8102828	87	13	33373	6.1094	5e-10
C128_8	ARID1B	6	157098980	157531913	913	72	33342	6.079	6.0484e-10
C128_8	PAPPA	9	118916071	119164600	409	66	33260	6.5744	2.4432e-11
C128_8	ASTN2	9	119187504	120177317	3022	146	33350	5.532	1.583e-08
C128_8	UBE3B	12	109915215	109974510	128	15	33500	6.0622	6.7135e-10
C128_8	MMAB	12	109991520	110011358	78	11	33501	7.7625	4.1633e-15
C128_8	MVK	12	110011500	110035071	65	12	33474	7.2209	2.5824e-13
C128_8	CDH11	16	64916794	65160015	833	35	33445	5.7335	4.9184e-09
C128_8	MACROD2	20	13976146	16033842	6109	309	33358	7.0413	9.5225e-13
C128_89	PCCA	13	100741269	101182691	846	42	33311	6.6093	1.9308e-11
C128_9	LACTBL1	1	23279536	23299524	49	12	33249	6.063	6.6811e-10
C128_9	C1orf234	1	23337327	23342343	9	3	33342	6.6332	1.6425e-11
C128_9	KDM1A	1	23345937	23410184	77	10	33393	6.4084	7.353e-11
C128_9	ZNF436	1	23685941	23696357	26	5	33428	5.5385	1.5256e-08
C128_9	C1orf123	1	53679771	53686289	10	2	33473	5.498	1.9205e-08
C128_9	MAGOH	1	53692564	53704282	22	6	33311	5.6216	9.4626e-09
C128_9	LRP8	1	53708036	53793821	173	26	33352	6.1673	3.4743e-10
C128_9	MAP4K4	2	102314165	102511152	317	21	33433	5.5483	1.4425e-08
C128_9	KLF7	2	207938861	208031970	270	36	33260	7.7343	5.1998e-15
C128_9	REST	4	57774042	57802010	78	14	33442	6.1094	5e-10
C128_9	NOA1	4	57829516	57843826	43	10	33347	7.721	5.7732e-15
C128_9	POLR2B	4	57844944	57897334	156	19	33466	7.845	2.1649e-15
C128_9	RELN	7	103112231	103629963	2051	98	33335	6.7391	7.9663e-12
C128_9	PAPPA	9	118916071	119164600	409	66	33247	6.682	1.1788e-11
C128_9	ASTN2	9	119187504	120177317	3022	146	33337	6.1894	3.0202e-10
C128_9	TRIM32	9	119360147	119463579	273	15	33436	6.7738	6.2719e-12
C128_9	TMEM180	10	104221149	104239546	61	6	33458	5.9061	1.752e-09
C128_9	ACTR1A	10	104238986	104262580	71	4	33491	6.0835	5.8791e-10
C128_9	SUFU	10	104263719	104393214	292	13	33456	5.8121	3.0848e-09
C128_9	CCDC53	12	102406717	102455902	104	16	33451	6.1094	5e-10
C128_9	NUP37	12	102467967	102514025	101	16	33475	7.6175	1.2934e-14
C128_9	PARPBP	12	102513956	102591298	154	15	33457	7.2346	2.3337e-13
C128_9	IGF1	12	102789645	102875563	152	22	33391	6.1923	2.964e-10
C128_9	RAD51B	14	68286496	69149889	1949	88	33350	6.706	1.0002e-11
C128_9	CRHR1	17	43697710	43913194	994	9	33445	5.824	2.8731e-09
C128_9	SPPL2C	17	43922256	43924438	17	2	33482	5.8304	2.7641e-09
C128_9	MAPT	17	43971702	44105700	709	5	33439	5.7617	4.164e-09
C128_9	STH	17	44076616	44077060	1	1	33527	5.756	4.3054e-09
C128_9	KANSL1	17	44107282	44302740	779	4	33332	5.6832	6.6083e-09
C128_9	LRRC37A	17	44316744	44415160	82	5	33112	5.8845	1.9958e-09
C128_9	MACROD2	20	13976146	16033842	6109	309	33346	6.7258	8.7296e-12
C128_91	ZIC4	3	147103835	147124596	33	9	33403	7.7059	6.4948e-15
C128_91	ZIC1	3	147127181	147134506	10	6	33365	7.376	8.1546e-14
C128_91	C7orf76	7	96110938	96132835	44	10	33354	7.7768	3.7192e-15
C128_91	SHFM1	7	96318079	96339203	52	10	33438	7.4503	4.6574e-14
C128_91	LRCH1	13	47127296	47327176	530	30	33372	6.1929	2.9527e-10
C128_92	TSPAN19	12	85408090	85430055	21	5	33152	5.5585	1.3606e-08
C128_92	LRRIQ1	12	85430099	85658235	297	18	33395	6.1719	3.3729e-10
C128_93	METTL10	10	126434336	126480439	87	12	33382	5.5457	1.4636e-08
C128_97	C1orf189	1	154171561	154178841	3	2	33459	5.5129	1.765e-08
C128_97	UBAP2L	1	154192427	154243986	81	11	33456	5.5111	1.7826e-08
C128_97	RALGPS1	9	129677053	129985445	562	19	33411	5.6671	7.2602e-09
C128_97	ANGPTL2	9	129849628	129885044	55	10	33445	5.5213	1.6821e-08
C128_97	LOXL1	15	74218789	74244478	112	15	33415	5.84	2.6099e-09
C128_98	C1orf185	1	51442129	51613754	318	23	33434	6.2772	1.7241e-10
C128_98	RNF11	1	51701945	51739119	42	7	33398	7.65	1.0048e-14
C128_98	TTC39A	1	51752930	51810785	109	22	33392	7.6008	1.471e-14
C128_98	C1orf123	1	53679771	53686289	10	2	33486	5.6016	1.0622e-08
C128_98	MAGOH	1	53692564	53704282	22	6	33324	6.4113	7.2118e-11
C128_98	LRP8	1	53708036	53793821	173	26	33365	6.9925	1.35e-12
C128_98	GRB14	2	165349323	165478360	198	30	33221	6.1073	5.0665e-10
C128_98	REST	4	57774042	57802010	78	14	33455	6.1094	5e-10
C128_98	NOA1	4	57829516	57843826	43	10	33360	6.3219	1.2919e-10
C128_98	POLR2B	4	57844944	57897334	156	19	33479	6.136	4.2308e-10
C128_98	ZFHX4	8	77593515	77779521	368	32	33431	7.5878	1.6267e-14
C128_98	PAPPA	9	118916071	119164600	409	66	33260	8.0117	5.6572e-16
C128_98	MLLT10	10	21813540	22032559	204	30	33341	6.1094	5e-10
C128_98	RAD51B	14	68286496	69149889	1949	88	33363	6.0996	5.3167e-10
C128_98	ZFP36L1	14	69254372	69263184	18	5	33343	7.4202	5.8453e-14
C128_99	GLIS1	1	53971904	54203748	571	37	33331	5.6347	8.7665e-09
C128_99	PARD3B	2	205410516	206484886	2543	129	33364	7.7884	3.3923e-15
C128_99	RELN	7	103112231	103629963	2051	98	33349	6.1208	4.6555e-10
C128_99	ALDH1A2	15	58245622	58358121	331	15	33331	5.538	1.5298e-08
C128_99	CDH11	16	64916794	65160015	833	35	33446	6.3733	9.2514e-11
C256_1	DPP4	2	162848751	162931052	198	24	33307	6.904	2.5286e-12
C256_1	IP6K2	3	48725436	48754711	45	6	33475	5.6162	9.7596e-09
C256_1	QARS	3	49133365	49142562	10	3	33506	5.7823	3.6833e-09
C256_1	C3orf62	3	49306030	49314864	12	4	33488	5.926	1.5519e-09
C256_1	AKAP10	17	19807765	19881169	111	10	33388	5.8387	2.6302e-09
C256_1	SPECC1	17	19912649	20218072	682	20	33438	5.9715	1.1755e-09
C256_10	AS3MT	10	104629183	104661656	111	13	33450	5.6723	7.0455e-09
C256_106	SSH2	17	27952956	28257231	400	17	33435	5.9277	1.5358e-09
C256_106	EFCAB5	17	28256874	28435470	248	15	33456	5.8203	2.937e-09
C256_106	NSRP1	17	28443821	28513493	102	8	33386	5.6728	7.0242e-09
C256_107	ZIC4	3	147103835	147124596	33	9	33403	7.4323	5.3346e-14
C256_107	ZIC1	3	147127181	147134506	10	6	33365	6.8527	3.6237e-12
C256_108	KIF6	6	39302876	39693181	1083	60	33366	6.0364	7.8777e-10
C256_110	GMNC	3	190570526	190610190	95	18	33312	7.0864	6.8817e-13
C256_110	GDF5	20	34021149	34026027	11	3	33503	5.7434	4.6408e-09
C256_113	CENPW	6	126660660	126670548	12	4	33447	5.8208	2.9285e-09
C256_113	C7orf76	7	96110938	96132835	44	10	33353	7.6094	1.3767e-14
C256_113	SHFM1	7	96318079	96339203	52	10	33437	6.1094	5e-10
C256_114	PFDN1	5	139624635	139682689	98	9	33344	5.7403	4.7251e-09
C256_114	LRCH1	13	47127296	47327176	530	30	33372	5.7592	4.2265e-09
C256_114	BCL11B	14	99635624	99738514	212	34	33251	6.6422	1.5452e-11
C256_114	RAB8B	15	63481728	63559975	183	24	33347	5.8307	2.7603e-09
C256_114	NPTX1	17	78440633	78450404	28	7	33320	6.1335	4.2974e-10
C256_114	MIR1-1HG	20	61147660	61167971	104	13	33078	7.3135	1.3017e-13
C256_115	ZIC4	3	147103835	147124596	33	9	33403	6.4761	4.7061e-11
C256_115	ZIC1	3	147127181	147134506	10	6	33365	6.0046	9.5906e-10
C256_116	C1orf185	1	51442129	51613754	318	23	33434	6.1319	4.3407e-10
C256_116	RNF11	1	51701945	51739119	42	7	33398	6.1666	3.4877e-10
C256_116	TTC39A	1	51752930	51810785	109	22	33392	6.1153	4.8175e-10
C256_116	REST	4	57774042	57802010	78	14	33455	7.2486	2.1061e-13
C256_116	PLXNA4	7	131808091	132333447	1499	122	33354	6.1028	5.2099e-10
C256_116	ZFHX4	8	77593515	77779521	368	32	33431	7.3434	1.0416e-13
C256_116	PAPPA	9	118916071	119164600	409	66	33260	6.3728	9.2828e-11
C256_116	ZFP36L1	14	69254372	69263184	18	5	33343	7.4202	5.8453e-14
C256_118	LOC100652758	5	151149354	151151069	7	2	33382	5.9042	1.7719e-09
C256_118	EXT1	8	118811602	119124058	732	54	33366	7.0855	6.9284e-13
C256_118	SEMA4D	9	91975706	92112906	477	49	33375	5.9592	1.2677e-09
C256_118	ASTN2	9	119187504	120177317	3022	146	33351	5.6288	9.0714e-09
C256_118	FAM53B	10	126307861	126432930	258	24	33326	5.8841	2.0013e-09
C256_118	METTL10	10	126434336	126480439	87	12	33382	7.1592	4.0584e-13
C256_118	WIF1	12	65444404	65515346	114	15	33373	6.1094	5e-10
C256_118	LEMD3	12	65563351	65642141	86	13	33440	6.1094	5e-10
C256_118	MSRB3	12	65672423	65860687	269	21	33412	7.5842	1.6732e-14
C256_118	HRK	12	117298225	117319232	24	5	33260	7.6018	1.4599e-14
C256_118	UQCC1	20	33890369	33999945	174	10	33468	6.5605	2.6806e-11
C256_118	GDF5	20	34021149	34026027	11	3	33505	5.9182	1.6278e-09
C256_12	MACROD2	20	13976146	16033842	6109	309	33352	7.8598	1.9232e-15
C256_120	DAAM1	14	59655329	59838123	560	29	33359	6.353	1.0559e-10
C256_123	P4HA2	5	131528299	131563556	67	13	33362	5.9838	1.0902e-09
C256_123	COL2A1	12	48366748	48398285	121	15	33329	5.6448	8.2696e-09
C256_123	SENP1	12	48436681	48500091	168	17	33470	5.8279	2.8059e-09
C256_123	DAAM1	14	59655329	59838123	560	29	33359	6.7851	5.801e-12
C256_124	PARD3B	2	205410516	206484886	2543	129	33364	6.1379	4.1807e-10
C256_124	ALDH1A2	15	58245622	58358121	331	15	33331	6.0677	6.4876e-10
C256_124	CDH11	16	64916794	65160015	833	35	33446	5.9117	1.6925e-09
C256_128	CALCRL	2	188206690	188313021	245	22	33392	5.6667	7.2792e-09
C256_13	DAAM1	14	59655329	59838123	560	29	33360	7.3218	1.2236e-13
C256_134	ZIC4	3	147103835	147124596	33	9	33403	6.4575	5.3213e-11
C256_134	SHFM1	7	96318079	96339203	52	10	33438	6.6257	1.7284e-11
C256_135	RAB13	1	153954093	153958853	3	2	33352	5.8232	2.8861e-09
C256_139	PARD3B	2	205410516	206484886	2543	129	33363	7.1642	3.9109e-13
C256_139	QRICH1	3	49067140	49131504	62	12	33456	5.6042	1.0464e-08
C256_139	QARS	3	49133365	49142562	10	3	33505	5.7853	3.6198e-09
C256_139	USP19	3	49145479	49158371	10	3	33516	5.7066	5.7632e-09
C256_139	CCDC36	3	49235861	49295636	78	10	33485	5.6083	1.0217e-08
C256_139	MMAB	12	109991520	110011358	78	11	33501	5.9625	1.2422e-09
C256_139	ALDH1A2	15	58245622	58358121	331	15	33330	6.725	8.7801e-12
C256_14	RNF11	1	51701945	51739119	42	7	33399	5.8604	2.309e-09
C256_14	LRP8	1	53708036	53793821	173	26	33366	7.1484	4.3904e-13
C256_14	MOV10	1	113217048	113243368	53	9	33460	5.6439	8.3118e-09
C256_14	AKT3	1	243651535	244014381	515	21	33421	5.6185	9.6318e-09
C256_14	CCDC71	3	49199968	49203785	4	1	33469	5.7584	4.2466e-09
C256_14	C3orf84	3	49215069	49229291	21	5	33471	5.8415	2.5863e-09
C256_14	MCC	5	112357796	112824527	1865	59	33396	7.3763	8.1398e-14
C256_14	BTN3A2	6	26365387	26378548	98	8	33494	5.8691	2.1907e-09
C256_14	BTN2A1	6	26458132	26476849	61	12	33481	6.0235	8.5333e-10
C256_14	FAXC	6	99720793	99797594	262	21	33408	6.8667	3.2851e-12
C256_14	COQ3	6	99817279	99842082	75	10	33397	5.7146	5.4989e-09
C256_14	USP45	6	99880182	99963565	217	17	33280	6.8232	4.4533e-12
C256_14	TSTD3	6	99968870	99981061	35	8	33290	7.0053	1.2323e-12
C256_14	CCNC	6	99990263	100016849	71	10	33482	7.5067	3.0309e-14
C256_14	PRDM13	6	100054650	100063454	14	6	33147	6.0547	7.0335e-10
C256_14	RELN	7	103112231	103629963	2051	98	33349	11.337	4.2973000000000004e-30
C256_14	ZFHX4	8	77593515	77779521	368	32	33432	6.2556	1.9803e-10
C256_14	ALDH1A2	15	58245622	58358121	331	15	33331	6.5796	2.3589e-11
C256_14	C16orf78	16	49407808	49433321	77	9	33398	6.9857	1.4175e-12
C256_14	SKOR2	18	44738460	44775554	91	12	33360	6.7128	9.545e-12
C256_14	DSCAM	21	41384343	42219039	2989	193	33330	6.9436	1.9106e-12
C256_140	SPAST	2	32288660	32382706	218	17	33412	5.6157	9.7912e-09
C256_140	SLC30A6	2	32390910	32449181	125	13	33412	5.9404	1.4217e-09
C256_140	GMNC	3	190570526	190610190	95	18	33309	5.7437	4.6314e-09
C256_140	RUNX2	6	45296054	45518819	536	46	33409	5.9705	1.1828e-09
C256_140	ENO4	10	118608741	118642112	50	11	33348	5.8037	3.2437e-09
C256_140	DSCAML1	11	117298489	117667976	1291	101	33318	7.7636	4.1261e-15
C256_140	KTN1	14	56046925	56151302	300	11	33435	6.5221	3.4655e-11
C256_140	CLN3	16	28488600	28505897	19	4	33386	5.9532	1.3146e-09
C256_140	APOBR	16	28505970	28510291	10	3	33373	5.952	1.3246e-09
C256_140	SULT1A1	16	28616908	28634907	24	6	33226	5.865	2.2458e-09
C256_140	ATXN2L	16	28834369	28848558	25	2	33481	6.1397	4.134e-10
C256_140	TUFM	16	28853732	28857729	7	2	33536	6.0822	5.9284e-10
C256_140	SH2B1	16	28872939	28885534	17	3	33429	6.4381	6.0481e-11
C256_140	ATP2A1	16	28889192	28915830	32	5	33273	6.2151	2.564e-10
C256_140	CD19	16	28943082	28950668	7	4	33279	5.7488	4.493e-09
C256_140	DCC	18	49866542	51062273	4579	110	33398	7.8842	1.5832e-15
C256_140	VPS16	20	2821373	2847378	72	6	33364	5.6194	9.5818e-09
C256_140	BCL2L1	20	30252261	30311752	89	8	33304	6.1094	5e-10
C256_140	TPX2	20	30326904	30389605	104	10	33461	7.6905	7.3275e-15
C256_140	MYLK2	20	30407115	30422500	42	7	33462	7.7338	5.218e-15
C256_140	DUSP15	20	30435441	30458479	51	16	33318	6.0775	6.1019e-10
C256_142	CD101	1	117544372	117579173	90	20	33362	5.9385	1.438e-09
C256_142	TMCC2	1	205197038	205242471	127	14	33450	6.0811	5.968e-10
C256_142	KLF3	4	38665790	38703129	80	18	33242	6.874	3.1211e-12
C256_142	TMEM161B	5	87485450	87564665	120	18	33283	6.1094	5e-10
C256_142	HIST1H2BD	6	26157419	26171577	21	7	33471	5.6486	8.0861e-09
C256_142	TRIM31	6	30070674	30080867	63	15	33438	5.7126	5.5632e-09
C256_142	DPCR1	6	30908777	30921998	37	12	33498	5.6968	6.1037e-09
C256_142	ENO4	10	118608741	118642112	50	11	33353	7.1811	3.4589e-13
C256_142	KIAA1598	10	118642888	118886097	290	21	33284	6.042	7.6123e-10
C256_142	DSCAML1	11	117298489	117667976	1291	101	33323	7.4446	4.8634e-14
C256_142	KTN1	14	56046925	56151302	300	11	33440	7.8604	1.9151e-15
C256_142	AKAP10	17	19807765	19881169	111	10	33388	6.8126	4.7923e-12
C256_142	DCC	18	49866542	51062273	4579	110	33403	9.522	8.4938e-22
C256_142	VPS16	20	2821373	2847378	72	6	33369	6.9503	1.8227e-12
C256_142	PTPRA	20	2844841	3019316	277	15	33394	5.7238	5.2094e-09
C256_142	DEFB119	20	29964966	29978452	41	10	33435	5.882	2.0266e-09
C256_142	DEFB121	20	29992648	30006314	39	6	33424	5.684	6.5786e-09
C256_142	DEFB124	20	30053309	30060816	15	5	33153	6.1268	4.482e-10
C256_142	REM1	20	30063091	30072708	18	7	33300	7.3656	8.8152e-14
C256_142	HM13	20	30102213	30158178	110	7	33431	6.1094	5e-10
C256_142	ID1	20	30193086	30194318	5	2	33381	6.1094	5e-10
C256_142	COX4I2	20	30225685	30232837	13	2	33155	6.9522	1.7983e-12
C256_142	BCL2L1	20	30252261	30311752	89	8	33309	6.1094	5e-10
C256_142	TPX2	20	30326904	30389605	104	10	33466	6.1094	5e-10
C256_142	MYLK2	20	30407115	30422500	42	7	33467	6.1094	5e-10
C256_142	FOXS1	20	30432103	30433420	2	1	33333	6.1094	5e-10
C256_142	DUSP15	20	30435441	30458479	51	16	33323	7.65	1.0048e-14
C256_142	TTLL9	20	30458440	30532770	146	23	33344	6.2385	2.2092e-10
C256_15	CD101	1	117544372	117579173	90	20	33362	6.1436	4.0324e-10
C256_15	XRCC4	5	82373317	82649579	673	28	33413	6.4089	7.3277e-11
C256_15	ACTR1A	10	104238986	104262580	71	4	33505	5.9805	1.1125e-09
C256_15	EXOC5	14	57669194	57735726	115	8	33415	5.6192	9.5934e-09
C256_15	MAP2K5	15	67835021	68099455	583	24	33428	8.0099	5.7421e-16
C256_15	SKOR1	15	68112042	68126498	33	7	33426	5.6111	1.0051e-08
C256_15	KATNAL2	18	44497565	44628614	372	23	33441	6.2906	1.5807e-10
C256_15	HDHD2	18	44633781	44676891	141	17	33468	6.9071	2.4727e-12
C256_15	SKOR2	18	44738460	44775554	91	12	33360	6.4979	4.0725e-11
C256_150	ZIC4	3	147103835	147124596	33	9	33403	6.8491	3.7156e-12
C256_150	ZIC1	3	147127181	147134506	10	6	33365	6.2787	1.7071e-10
C256_150	SLIT2	4	20254566	20622184	911	103	33382	6.0163	8.9203e-10
C256_150	STOX1	10	70587294	70655209	199	25	33326	5.8954	1.8686e-09
C256_150	FAM53B	10	126307861	126432930	258	24	33326	6.03	8.1994e-10
C256_150	METTL10	10	126434336	126480439	87	12	33382	6.8063	5.0079e-12
C256_150	EML1	14	100204056	100408397	557	45	33295	5.8812	2.0359e-09
C256_159	NAV2	11	19372271	20143147	2111	199	33312	6.0634	6.662e-10
C256_16	DAAM1	14	59655329	59838123	560	29	33359	5.6175	9.6896e-09
C256_17	FAF1	1	50906935	51425936	721	30	33443	6.8601	3.4409e-12
C256_17	C1orf185	1	51442129	51613754	318	23	33434	6.8602	3.4373e-12
C256_17	RNF11	1	51701945	51739119	42	7	33398	7.6231	1.2379e-14
C256_17	TTC39A	1	51752930	51810785	109	22	33392	7.3723	8.3877e-14
C256_17	SPRED2	2	65534580	65659733	367	25	33306	7.1882	3.2829e-13
C256_17	GRB14	2	165349323	165478360	198	30	33221	7.296	1.4821e-13
C256_17	PRKAR2A	3	48784017	48885270	74	13	33461	6.69	1.1158e-11
C256_17	SLC25A20	3	48894356	48936426	36	7	33435	6.6222	1.7692e-11
C256_17	ARIH2	3	48956265	49022974	68	12	33452	6.5686	2.5391e-11
C256_17	P4HTM	3	49027304	49044582	12	3	33503	6.8251	4.3932e-12
C256_17	WDR6	3	49044637	49053386	6	3	33519	5.8393	2.6209e-09
C256_17	DALRD3	3	49052832	49058504	5	3	33478	6.1557	3.7376e-10
C256_17	QRICH1	3	49067140	49131504	62	12	33456	6.6526	1.44e-11
C256_17	QARS	3	49133365	49142562	10	3	33505	5.7599	4.207e-09
C256_17	USP19	3	49145479	49158371	10	3	33516	6.9105	2.4145e-12
C256_17	CCDC71	3	49199968	49203785	4	1	33468	5.9903	1.0474e-09
C256_17	C3orf84	3	49215069	49229291	21	5	33470	6.8861	2.8664e-12
C256_17	CCDC36	3	49235861	49295636	78	10	33485	6.6654	1.3197e-11
C256_17	USP4	3	49314577	49377536	73	10	33401	5.8596	2.3199e-09
C256_17	RHOA	3	49396569	49449526	91	10	33485	6.3207	1.3015e-10
C256_17	TCTA	3	49449639	49453909	7	3	33481	5.9089	1.7225e-09
C256_17	NICN1	3	49459766	49466777	8	4	33528	6.1461	3.9715e-10
C256_17	DAG1	3	49506136	49573051	110	12	33495	5.8866	1.9716e-09
C256_17	SEPT11	4	77870895	77961307	236	19	33402	5.7007	5.9642e-09
C256_17	ARL15	5	53180578	53606403	1326	82	33316	7.3193	1.2461e-13
C256_17	ZFHX4	8	77593515	77779521	368	32	33431	7.2406	2.2342e-13
C256_17	PAPPA	9	118916071	119164600	409	66	33260	9.4071	2.5497999999999996e-21
C256_17	ACTR1A	10	104238986	104262580	71	4	33504	6.1361	4.2283e-10
C256_17	RAD51B	14	68286496	69149889	1949	88	33363	6.899	2.618e-12
C256_17	ZNF521	18	22641888	22932214	703	71	33333	5.6686	7.1967e-09
C256_171	LEKR1	3	156543069	156763918	615	27	33392	5.9131	1.6783e-09
C256_171	PPIP5K2	5	102455958	102539224	185	12	33476	5.6977	6.0702e-09
C256_174	CENPW	6	126660660	126670548	12	4	33447	7.2746	1.7369e-13
C256_174	ISPD	7	16127152	16460947	1069	43	33333	6.6838	1.164e-11
C256_174	TSPAN19	12	85408090	85430055	21	5	33152	7.7642	4.1078e-15
C256_174	LRRIQ1	12	85430099	85658235	297	18	33395	6.3681	9.5721e-11
C256_174	ALX1	12	85673713	85695562	40	8	33407	7.845	2.1649e-15
C256_18	LOC646588	7	25694948	25702806	18	3	33267	5.7691	3.9852e-09
C256_180	KIAA1614	1	180882313	180920745	91	22	33268	5.6015	1.0628e-08
C256_180	GRB14	2	165349323	165478360	198	30	33221	6.9611	1.6879e-12
C256_180	PARD3B	2	205410516	206484886	2543	129	33363	5.9251	1.561e-09
C256_180	XRCC4	5	82373317	82649579	673	28	33412	5.6115	1.0031e-08
C256_180	MOSPD3	7	100209725	100213003	5	1	32886	5.8803	2.0481e-09
C256_180	TFR2	7	100218039	100240332	36	8	33410	5.8351	2.688e-09
C256_180	ACTL6B	7	100240720	100254084	15	6	33255	5.7388	4.7684e-09
C256_180	ZAN	7	100331249	100395419	161	22	33354	5.7363	4.8382e-09
C256_180	RELN	7	103112231	103629963	2051	98	33348	7.4495	4.683e-14
C256_180	PTK2	8	141668481	142011412	538	12	33365	6.0421	7.6063e-10
C256_180	ZFP36L1	14	69254372	69263184	18	5	33343	5.7372	4.8118e-09
C256_180	MAP2K5	15	67835021	68099455	583	24	33427	6.041	7.6603e-10
C256_183	FAM53B	10	126307861	126432930	258	24	33326	6.1575	3.6962e-10
C256_183	METTL10	10	126434336	126480439	87	12	33382	7.4926	3.3751e-14
C256_183	FAM175B	10	126490354	126525239	54	10	33429	6.4979	4.0732e-11
C256_183	NAV3	12	78224685	78606790	1216	75	33363	5.9602	1.2593e-09
C256_191	LRRC71	1	156890400	156902881	37	5	33435	6.0617	6.733e-10
C256_191	ARHGEF11	1	156904632	157015512	240	19	33462	5.9431	1.3982e-09
C256_191	FRYL	4	48499380	48782329	369	23	33415	5.6844	6.5647e-09
C256_191	BCL11B	14	99635624	99738514	212	34	33251	6.0245	8.4816e-10
C256_192	ZIC4	3	147103835	147124596	33	9	33403	6.5299	3.29e-11
C256_192	ZIC1	3	147127181	147134506	10	6	33365	5.9814	1.1062e-09
C256_196	COL11A1	1	103342023	103574052	1046	30	33456	6.4953	4.1447e-11
C256_196	ALDH1A2	15	58245622	58358121	331	15	33331	6.2089	2.6674e-10
C256_2	NOV	8	120428552	120436678	48	3	33509	5.7013	5.9465e-09
C256_2	WBP1L	10	104503727	104576022	215	23	33417	5.7065	5.7649e-09
C256_2	CYP17A1	10	104590288	104597290	19	4	33498	6.4787	4.6272e-11
C256_2	C10orf32	10	104613967	104624718	25	7	33402	7.4871	3.5194e-14
C256_2	AS3MT	10	104629183	104661656	111	13	33450	7.5188	2.7645e-14
C256_2	CNNM2	10	104678075	104838344	385	20	33467	6.805	5.0532e-12
C256_2	NT5C2	10	104847774	104953063	242	19	33489	6.1094	5e-10
C256_200	SLMAP	3	57741948	57915597	261	20	33424	5.6715	7.0782e-09
C256_200	ENPP2	8	120569317	120685644	267	29	33342	5.6522	7.9212e-09
C256_203	CCDC91	12	28343360	28703099	909	18	33418	6.5784	2.3784e-11
C256_208	P4HA2	5	131528299	131563556	67	13	33362	5.7105	5.6322e-09
C256_208	KIF6	6	39302876	39693181	1083	60	33365	5.6694	7.1633e-09
C256_208	DLG4	17	7093209	7123369	45	10	33362	7.2586	1.9557e-13
C256_208	ACADVL	17	7120444	7128586	11	3	33474	6.607	1.961e-11
C256_218	BLOC1S5	6	8013800	8064647	194	15	33399	6.7845	5.8232e-12
C256_218	EEF1E1	6	8073593	8102828	87	13	33374	6.1094	5e-10
C256_218	ASTN2	9	119187504	120177317	3022	146	33351	6.1171	4.7644e-10
C256_218	MACROD2	20	13976146	16033842	6109	309	33359	6.4159	6.9993e-11
C256_219	MFAP2	1	17300997	17308081	17	4	33340	5.6525	7.9065e-09
C256_219	ATP13A2	1	17312453	17338467	56	11	33431	6.1385	4.1649e-10
C256_219	EPHA3	3	89156674	89531284	689	27	33355	6.6911	1.1078e-11
C256_219	GNA12	7	2767739	2883963	342	19	33400	6.0675	6.4939e-10
C256_219	METTL10	10	126434336	126480439	87	12	33382	5.6465	8.187e-09
C256_222	C1orf185	1	51442129	51613754	318	23	33434	6.6928	1.0946e-11
C256_222	RNF11	1	51701945	51739119	42	7	33398	5.7198	5.3339e-09
C256_222	TTC39A	1	51752930	51810785	109	22	33392	5.7422	4.6728e-09
C256_222	SLC44A5	1	75667816	76081698	1011	35	33368	6.6709	1.2713e-11
C256_222	PAX3	2	223064606	223163715	264	31	33311	7.2904	1.545e-13
C256_222	STK17A	7	43622692	43666978	129	11	33436	6.1094	5e-10
C256_222	COA1	7	43648052	43769140	367	15	33482	7.5508	2.1624e-14
C256_222	BLVRA	7	43798272	43846941	95	13	33452	7.3765	8.1268e-14
C256_222	SEMA3A	7	83587659	84122040	1718	72	33387	5.6895	6.3708e-09
C256_222	ERC1	12	1100404	1605099	1659	47	33391	5.9793	1.1203e-09
C256_222	CCDC53	12	102406717	102455902	104	16	33464	6.7325	8.3366e-12
C256_222	NUP37	12	102467967	102514025	101	16	33488	6.7339	8.2568e-12
